NAME,ADDRESS,CITY,STATE,ZIPCODE,LAT,LONG,STARS,REVIEW_COUNT,IS_OPEN,ACCEPTS_CREDITCARD,PRICE_RANGE,ALCOHOL,WIFI,DOGS_ALLOWED,WHEELCHAIR_ACCESS,APPOINTMENT_ONLY,CATEGORIES,CATEGORY1,TYPE,CATEGORY2,CATEGORY3,CATEGORY4,CATEGORY5,CATEGORY6,CATEGORY7,CATEGORY8,CATEGORY9,CATEGORY10,CATEGORY11,CATEGORY12,CATEGORY13,CATEGORY14,CATEGORY15,CATEGORY16,,,,,,,,
Najat's Cuisine Authentic Lebanese Food,1500 Electric Ave,North Braddock,PA,15112,40.4051248,-79.8392375,4,4,1,,1,,,,,,"Lebanese, Restaurants, Middle Eastern",Lebanese,, Restaurants, Middle Eastern,,,,,,,,,,,,,,,,,,,,,
Yankee Candle,300 S Hills Vlg,Pittsburgh,PA,15241,40.3419337,-80.057056,3,3,1,TRUE,2,,,,,,"Home & Garden, Home Decor, Candle Stores, Shopping",Home ,, Garden, Home Decor, Candle Stores, Shopping,,,,,,,,,,,,,,,,,,,
Bombay Curry House,346 Atwood St,Pittsburgh,PA,15213,40.43855,-79.9547383,2.5,4,0,TRUE,2,,,,,,"Indian, Restaurants",Indian,, Restaurants,,,,,,,,,,,,,,,,,,,,,,
Pizza Prima,190 N Craig St,Pittsburgh,PA,15213,40.4495607,-79.950504,4,21,0,FALSE,1,none,no,FALSE,TRUE,,"Salad, Restaurants, Diners, Pizza",Salad,, Restaurants, Diners, Pizza,,,,,,,,,,,,,,,,,,,,
Nicky's Thai Kitchen,856 Western Ave,Pittsburgh,PA,15233,40.4521317,-80.0162219,4,379,1,TRUE,2,beer_and_wine,no,,FALSE,,"Thai, Restaurants",Thai,, Restaurants,,,,,,,,,,,,,,,,,,,,,,
South Hills Toyota,2403 Washington Rd,Canonsburg,PA,15317,40.2524891,-80.1704062,4,12,1,TRUE,,,,,,,"Used Car Dealers, Car Dealers, Auto Repair, Automotive",Used Car Dealers,, Car Dealers, Auto Repair, Automotive,,,,,,,,,,,,,,,,,,,,
Wai Wai Buffet & Grill,"113 Cavasina Dr, Ste 8",Canonsburg,PA,15317,40.2634203,-80.1738365,2,18,1,TRUE,1,none,no,,,,"Chinese, Buffets, Restaurants",Chinese,, Buffets, Restaurants,,,,,,,,,,,,,,,,,,,,,
Fifth Neville Apartments,4705 5th Ave,Pittsburgh,PA,15213,40.4473375,-79.9466014,4,4,1,TRUE,,,,,,FALSE,"Real Estate, Home Services, Apartments",Real Estate,, Home Services, Apartments,,,,,,,,,,,,,,,,,,,,,
Panera Bread,666 Allegheny River Blvd,Oakmont,PA,15139,40.52108,-79.841511,2,11,1,TRUE,1,none,free,,,,"Sandwiches, Restaurants, Food, Breakfast & Brunch, Salad, Bagels, Soup",Sandwiches,, Restaurants, Food, Breakfast , Brunch, Salad, Bagels, Soup,,,,,,,,,,,,,,,,
Golden Dragon Chinese Restaurant,114 Tropiano Ln,Irwin,PA,15642,40.3245138,-79.7011549,5,4,1,TRUE,1,,,,,,"Chinese, Restaurants",Chinese,, Restaurants,,,,,,,,,,,,,,,,,,,,,,
Nu-Life Cleaners & Shirt Laundry,5613 Hobart St,Pittsburgh,PA,15217,40.432826,-79.927,2,7,0,TRUE,2,,no,,,,"Local Services, Laundry Services, Dry Cleaning & Laundry",Local Services,, Laundry Services, Dry Cleaning , Laundry,,,,,,,,,,,,,,,,,,,,
Linea Verde Green Market,4619 Liberty Ave,Pittsburgh,PA,15224,40.46241768,-79.95018661,5,11,1,TRUE,1,,,,FALSE,,"Grocery, Specialty Food, Food, Farmers Market, Fruits & Veggies, Juice Bars & Smoothies",Grocery,, Specialty Food, Food, Farmers Market, Fruits , Veggies, Juice Bars , Smoothies,,,,,,,,,,,,,,,,
Salud Juicery,348 Beaver St,Sewickley,PA,15143,40.5412756,-80.1819922,4.5,30,1,TRUE,2,,free,,FALSE,,"Food, Juice Bars & Smoothies",Food,, Juice Bars , Smoothies,,,,,,,,,,,,,,,,,,,,,
E Town Bar and Grille,304 Butler St,Pittsburgh,PA,15223,40.495304,-79.94511,4.5,37,1,TRUE,1,full_bar,no,,FALSE,,"American (Traditional), Restaurants",American (Traditional),, Restaurants,,,,,,,,,,,,,,,,,,,,,,
Danny's Bar & Grill,1511 Center Ave,Pittsburgh,PA,15229,40.5145014,-80.0448525,4.5,5,1,TRUE,,,,,,,"American (Traditional), Restaurants",American (Traditional),, Restaurants,,,,,,,,,,,,,,,,,,,,,,
Ott Family Dentistry,9066 Perry Hwy,Pittsburgh,PA,15237,40.5717746,-80.0364981,5,5,1,TRUE,,,,,,TRUE,"General Dentistry, Health & Medical, Dentists",General Dentistry,, Health , Medical, Dentists,,,,,,,,,,,,,,,,,,,,
Paint Monkey,9180 Covenant Ave,Pittsburgh,PA,15237,40.684909,-80.110256,4.5,11,1,TRUE,,,,,,,"Specialty Schools, Education, Art Schools, Arts & Entertainment, Party & Event Planning, Event Planning & Services, Art Classes, Paint & Sip",Specialty Schools,, Education, Art Schools, Arts , Entertainment, Party , Event Planning, Event Planning , Services, Art Classes, Paint , Sip,,,,,,,,,,,,
Urban Outfitters,"435 Cinema Dr, Ste C-141",Pittsburgh,PA,15203,40.4277775,-79.96519,3,14,1,TRUE,3,,,,,,"Fashion, Shopping, Home & Garden, Women's Clothing, Home Decor, Men's Clothing",Fashion,, Shopping, Home , Garden, Women's Clothing, Home Decor, Men's Clothing,,,,,,,,,,,,,,,,,
CoGo's,925 E Carson St,Pittsburgh,PA,15203,40.4289921,-79.9889934,2,4,1,TRUE,2,,,,,,"Convenience Stores, Grocery, Food",Convenience Stores,, Grocery, Food,,,,,,,,,,,,,,,,,,,,,
Fudge Farm,1503 East Carson St,Pittsburgh,PA,15203,40.429079,-79.9832306,4,45,1,TRUE,2,,,,TRUE,,"Desserts, Food, Specialty Food, Candy Stores",Desserts,, Food, Specialty Food, Candy Stores,,,,,,,,,,,,,,,,,,,,
Team Nutz,1366 Old Freeport Rd,Pittsburgh,PA,15238,40.486365,-79.872736,4,8,1,TRUE,,,,,,,"Car Stereo Installation, Automotive, Auto Detailing, Tires",Car Stereo Installation,, Automotive, Auto Detailing, Tires,,,,,,,,,,,,,,,,,,,,
Mr Mike's Pub & Pizza,9371 Route 30,Irwin,PA,15642,40.3201378,-79.6845419,3,30,1,TRUE,2,full_bar,no,,,,"Restaurants, Pizza",Restaurants,, Pizza,,,,,,,,,,,,,,,,,,,,,,
T&T Frozen Yogurt,3535 Mountain View Dr,West Mifflin,PA,15122,40.34502729,-79.94461298,4.5,12,0,TRUE,1,,free,,,,"Food, Ice Cream & Frozen Yogurt",Food,, Ice Cream , Frozen Yogurt,,,,,,,,,,,,,,,,,,,,,
GNC,5301 Baptist Rd,Pittsburgh,PA,15236,40.3576004,-79.99755338,4,3,1,TRUE,2,,,,,,"Vitamins & Supplements, Shopping",Vitamins ,, Supplements, Shopping,,,,,,,,,,,,,,,,,,,,,
Kraynick's Bike Shop,5003 Penn Ave,Pittsburgh,PA,15224,40.4652961,-79.9438063,5,27,1,FALSE,1,,,,FALSE,,"Bikes, Shopping, Sporting Goods, Local Services, Bike Repair/Maintenance",Bikes,, Shopping, Sporting Goods, Local Services, Bike Repair/Maintenance,,,,,,,,,,,,,,,,,,,
Chipotle Mexican Grill,4137 William Penn Hwy,Monroeville,PA,15146,40.439181,-79.766688,2.5,37,1,TRUE,1,none,no,,,,"Restaurants, Mexican, Fast Food",Restaurants,, Mexican, Fast Food,,,,,,,,,,,,,,,,,,,,,
Stumpf Moving & Storage,199 Purity Rd,Pittsburgh,PA,15235,40.4451709,-79.8303967,2.5,5,1,TRUE,,,,,,TRUE,"Movers, Home & Garden, Self Storage, Shopping, Musical Instrument Services, Piano Services, Home Services, Local Services",Movers,, Home , Garden, Self Storage, Shopping, Musical Instrument Services, Piano Services, Home Services, Local Services,,,,,,,,,,,,,,,
Heidelberg B P,1927 E Railroad St,Carnegie,PA,15106,40.388284,-80.089241,3,4,0,,,,,,,,"Gas Stations, Automotive",Gas Stations,, Automotive,,,,,,,,,,,,,,,,,,,,,,
Revolution Cycle,1910 Cochran Rd,Pittsburgh,PA,15220,40.393861,-80.063001,5,4,0,TRUE,,,,,,TRUE,"Gyms, Cycling Classes, Active Life, Fitness & Instruction",Gyms,, Cycling Classes, Active Life, Fitness , Instruction,,,,,,,,,,,,,,,,,,,
STEMsteps,3281 Wexford Rd,Gibsonia,PA,15044,40.63236769,-80.00963341,5,3,1,FALSE,,,,,,,"Preschools, Local Services, Child Care & Day Care, Education",Preschools,, Local Services, Child Care , Day Care, Education,,,,,,,,,,,,,,,,,,,
Alchemy N' Ale,5147 Butler St,Pittsburgh,PA,15201,40.4796743,-79.9552129,3,46,0,TRUE,2,full_bar,free,,,,"Italian, Restaurants, Gastropubs",Italian,, Restaurants, Gastropubs,,,,,,,,,,,,,,,,,,,,,
Sincerely Yogurt,4885 McKnight Rd,Pittsburgh,PA,15237,40.529671,-80.010036,3,7,1,TRUE,1,,,,,,"Ice Cream & Frozen Yogurt, Food, Juice Bars & Smoothies",Ice Cream ,, Frozen Yogurt, Food, Juice Bars , Smoothies,,,,,,,,,,,,,,,,,,,
Owen's Dry Cleaners,5743 Walnut St,Pittsburgh,PA,15232,40.4527908,-79.9289154,1.5,10,0,TRUE,3,,no,,,,"Local Services, Dry Cleaning, Laundry Services, Dry Cleaning & Laundry",Local Services,, Dry Cleaning, Laundry Services, Dry Cleaning , Laundry,,,,,,,,,,,,,,,,,,,
Mansions on Fifth,5105 Fifth Ave,Pittsburgh,PA,15232,40.4480093,-79.9383971,3.5,60,1,TRUE,3,,free,TRUE,TRUE,,"Hotels & Travel, Event Planning & Services, Venues & Event Spaces, Bed & Breakfast, Hotels",Hotels ,, Travel, Event Planning , Services, Venues , Event Spaces, Bed , Breakfast, Hotels,,,,,,,,,,,,,,,
M-Nails,5541 Walnut St,Pittsburgh,PA,15232,40.45182,-79.9320199,3,4,1,,2,,,,,,"Beauty & Spas, Nail Salons",Beauty ,, Spas, Nail Salons,,,,,,,,,,,,,,,,,,,,,
Pittsburgh Black Car,3223 Brereton St,Pittsburgh,PA,15222,40.456883,-79.9654611,5,10,1,,,,,,,,"Limos, Airport Shuttles, Hotels & Travel, Town Car Service, Taxis, Transportation",Limos,, Airport Shuttles, Hotels , Travel, Town Car Service, Taxis, Transportation,,,,,,,,,,,,,,,,,
Sesame Inn Chinese Restaurant,715 Washington Rd,Pittsburgh,PA,15228,40.37965491,-80.04486434,3.5,72,1,TRUE,2,full_bar,no,,FALSE,,"Chinese, Sushi Bars, Restaurants, Thai",Chinese,, Sushi Bars, Restaurants, Thai,,,,,,,,,,,,,,,,,,,,
M J Automotive Service Center,2600 Pioneer Ave,Pittsburgh,PA,15226,40.3958254,-80.0242144,3.5,7,1,TRUE,,,,,,,"Auto Repair, Automotive, Transmission Repair, Wheel & Rim Repair, Oil Change Stations, Smog Check Stations, Tires",Auto Repair,, Automotive, Transmission Repair, Wheel , Rim Repair, Oil Change Stations, Smog Check Stations, Tires,,,,,,,,,,,,,,,,
Delecon Appliances LLC DBA,"4261 William Penn Hwy, Ste 100",Murrysville,PA,15668,40.426945,-79.684848,3,4,1,TRUE,,,,,,,"Shopping, Appliances & Repair, Appliances, Home & Garden, Local Services",Shopping,, Appliances , Repair, Appliances, Home , Garden, Local Services,,,,,,,,,,,,,,,,,
Bethel Deli,2407 S Park Rd,Bethel Park,PA,15102,40.3296755,-80.0225707,4.5,18,1,TRUE,1,,no,,,,"Event Planning & Services, Delis, Caterers, Restaurants",Event Planning ,, Services, Delis, Caterers, Restaurants,,,,,,,,,,,,,,,,,,,
Emily Cassel,,Pittsburgh,PA,16901,41.4040812,-78.7046046,5,3,1,,,,,,,,"Web Design, Life Coach, Professional Services, Marketing, Business Consulting, Career Counseling",Web Design,, Life Coach, Professional Services, Marketing, Business Consulting, Career Counseling,,,,,,,,,,,,,,,,,,
Claire's Accessories,Ross Park Mall,Pittsburgh,PA,15237,40.5432756,-80.0101594,3.5,3,1,TRUE,,,,,,,"Shopping, Accessories, Fashion",Shopping,, Accessories, Fashion,,,,,,,,,,,,,,,,,,,,,
Santom Upholstery & Refinishing,371 Rochester Rd,Pittsburgh,PA,15237,40.531301,-80.045276,3.5,11,1,FALSE,3,,,,TRUE,FALSE,"Local Services, Antiques, Furniture Reupholstery, Shopping",Local Services,, Antiques, Furniture Reupholstery, Shopping,,,,,,,,,,,,,,,,,,,,
The Smokehouse Bar & Grill,2500 W Liberty Ave,Pittsburgh,PA,15226,40.399184,-80.025491,3.5,25,0,TRUE,2,full_bar,no,,,,"Restaurants, Barbeque, American (Traditional), Bars, Nightlife",Restaurants,, Barbeque, American (Traditional), Bars, Nightlife,,,,,,,,,,,,,,,,,,,
Southside Jewelers,1821 E Carson St,Pittsburgh,PA,15203,40.4289128,-79.9796475,3.5,3,1,TRUE,2,,,,TRUE,FALSE,"Watches, Shopping, Jewelry, Gold Buyers",Watches,, Shopping, Jewelry, Gold Buyers,,,,,,,,,,,,,,,,,,,,
"Pear and the Pickle, Cafe & Market",1800 Rialto St,Pittsburgh,PA,15212,40.466752,-79.982293,5,64,1,TRUE,1,none,free,,TRUE,,"Restaurants, Food, Coffee & Tea, Delis, Cafes, Specialty Food, Fruits & Veggies, Grocery",Restaurants,, Food, Coffee , Tea, Delis, Cafes, Specialty Food, Fruits , Veggies, Grocery,,,,,,,,,,,,,,
Red Robin Gourmet Burgers,"Mall Circle Drive, Unit 703-A",Monroeville,PA,15146,40.4324714,-79.7512033,3,43,1,TRUE,2,full_bar,no,,,,"American (Traditional), Burgers, Restaurants",American (Traditional),, Burgers, Restaurants,,,,,,,,,,,,,,,,,,,,,
Supremo's Pizzeria,"120 Three Degree Rd, Ste C",Pittsburgh,PA,15237,40.5440312,-80.03334106,3.5,10,0,TRUE,2,none,no,,,,"Restaurants, Pizza",Restaurants,, Pizza,,,,,,,,,,,,,,,,,,,,,,
Phipps Conservatory and Botanical Gardens,1 Schenley Park,Pittsburgh,PA,15213,40.439248,-79.947347,4.5,255,1,TRUE,,,,,TRUE,FALSE,"Arts & Entertainment, Parks, Active Life, Botanical Gardens",Arts ,, Entertainment, Parks, Active Life, Botanical Gardens,,,,,,,,,,,,,,,,,,,
Enterprise Rent-A-Car,737 Butler St,Pittsburgh,PA,15223,40.507348,-79.946267,2,4,1,,,,,,,,"Car Rental, Hotels & Travel",Car Rental,, Hotels , Travel,,,,,,,,,,,,,,,,,,,,,
Trax Farms,528 Trax Rd,Finleyville,PA,15332,40.2764845,-80.03091991,3.5,37,1,TRUE,2,beer_and_wine,,FALSE,TRUE,,"Shopping, Home Decor, Home & Garden, Nurseries & Gardening, Fruits & Veggies, Specialty Food, Food, Farmers Market",Shopping,, Home Decor, Home , Garden, Nurseries , Gardening, Fruits , Veggies, Specialty Food, Food, Farmers Market,,,,,,,,,,,,,
Fat Tommy's Pizzeria,115 Forbes Ave,Pittsburgh,PA,15222,40.4410274,-80.003365,3.5,18,0,TRUE,1,full_bar,no,,,,"Pizza, Restaurants",Pizza,, Restaurants,,,,,,,,,,,,,,,,,,,,,,
Chili Noodle Corner,500 Liberty Ave,Pittsburgh,PA,15222,40.441237,-80.003478,3.5,16,0,TRUE,2,none,no,,TRUE,,"Thai, Restaurants, Asian Fusion",Thai,, Restaurants, Asian Fusion,,,,,,,,,,,,,,,,,,,,,
Los Cabos Mexican Restaurant,4108-10 Penn Ave,Pittsburgh,PA,15224,40.4655393,-79.9545807,3.5,123,1,TRUE,1,none,no,,TRUE,,"Mexican, Restaurants",Mexican,, Restaurants,,,,,,,,,,,,,,,,,,,,,,
DJ's Sandwich Shoppe,4613 Liberty Ave,Pittsburgh,PA,15224,40.462538,-79.95047639,4,14,0,FALSE,2,none,no,,,,"Restaurants, Breakfast & Brunch, Sandwiches",Restaurants,, Breakfast , Brunch, Sandwiches,,,,,,,,,,,,,,,,,,,,
Penn Monroe Grill,3985 William Penn Hwy,Monroeville,PA,15146,40.438701,-79.772115,3,9,0,TRUE,2,full_bar,free,,,,"American (Traditional), Restaurants",American (Traditional),, Restaurants,,,,,,,,,,,,,,,,,,,,,,
Hong Kong Express II,529 Ct Pl,Pittsburgh,PA,15219,40.437018,-79.997166,3.5,8,1,TRUE,1,none,,,TRUE,,"Chinese, Restaurants, Thai",Chinese,, Restaurants, Thai,,,,,,,,,,,,,,,,,,,,,
Thai Place Restaurant,5528 Walnut St,Pittsburgh,PA,15232,40.4513611,-79.9325239,3,103,0,TRUE,2,full_bar,no,,TRUE,,"Thai, Restaurants",Thai,, Restaurants,,,,,,,,,,,,,,,,,,,,,,
Tom's Diner,2937 W Liberty Ave,Pittsburgh,PA,15216,40.3942793,-80.0350803,3.5,62,1,TRUE,1,beer_and_wine,no,,,,"Restaurants, Sandwiches, Greek, Burgers",Restaurants,, Sandwiches, Greek, Burgers,,,,,,,,,,,,,,,,,,,,
Shadyside Eye Associates,"5730 Ellsworth Ave, Ste 4",Pittsburgh,PA,15232,40.455356,-79.93125,5,16,1,TRUE,,,,,,TRUE,"Optometrists, Health & Medical",Optometrists,, Health , Medical,,,,,,,,,,,,,,,,,,,,,
MA's Ice Cream Shop,303 W Lincoln Ave,McDonald,PA,15057,40.3677202,-80.2372767,5,4,1,FALSE,1,,no,,,,"Food, Ice Cream & Frozen Yogurt",Food,, Ice Cream , Frozen Yogurt,,,,,,,,,,,,,,,,,,,,,
Peoples Natural Gas,375 N Shore Dr,Pittsburgh,PA,15212,40.445804,-80.011325,2,4,1,TRUE,,,,,,,Home Services,Home Services,,,,,,,,,,,,,,,,,,,,,,,,
Adore Hair Studio,542 Millers Run Rd,Morgan,PA,15064,40.3538413,-80.1462662,3.5,3,1,TRUE,,,,,FALSE,FALSE,"Hair Salons, Waxing, Beauty & Spas, Hair Removal, Eyelash Service",Hair Salons,, Waxing, Beauty , Spas, Hair Removal, Eyelash Service,,,,,,,,,,,,,,,,,,
Mission Mahi!,8898 Peebles Rd,Allison Park,PA,15101,40.57033362,-80.00264391,4.5,30,1,TRUE,2,none,,,,,"Food, Food Trucks",Food,, Food Trucks,,,,,,,,,,,,,,,,,,,,,,
KFC,5130 Clairton Blvd,Pittsburgh,PA,15236,40.3445,-79.9726,3.5,3,1,,,,,,,,"Fast Food, Chicken Wings, Chicken Shop, Restaurants",Fast Food,, Chicken Wings, Chicken Shop, Restaurants,,,,,,,,,,,,,,,,,,,,
White Orchid,4907 Clairton Blvd,Pittsburgh,PA,15236,40.3491566,-79.9752868,3,6,1,,2,,,,,,"Shopping, Bridal",Shopping,, Bridal,,,,,,,,,,,,,,,,,,,,,,
Mama Pepino's Pizza,2417 Oneil Blvd,McKeesport,PA,15131,40.3515557,-79.8288981,5,3,1,TRUE,,,,,,,"Pizza, Restaurants",Pizza,, Restaurants,,,,,,,,,,,,,,,,,,,,,,
Petagogy,5880 Ellsworth Ave,Pittsburgh,PA,15232,40.4576629,-79.9280738,4.5,28,1,,,,,,,,"Pet Stores, Pets",Pet Stores,, Pets,,,,,,,,,,,,,,,,,,,,,,
Rumors Bar & Grill,466 Rochester Rd NW,Sewickley,PA,15143,40.696112,-80.154383,4,9,1,TRUE,1,full_bar,free,FALSE,,,"American (Traditional), Nightlife, Salad, Burgers, Restaurants, Dive Bars, Bars",American (Traditional),, Nightlife, Salad, Burgers, Restaurants, Dive Bars, Bars,,,,,,,,,,,,,,,,,
Hog Dog,3500 Spring Garden Rd,Pittsburgh,PA,15212,40.48310397,-79.99685504,4,3,1,TRUE,2,,,,,,"Arts & Entertainment, Food, Wineries, Wine Tasting Room",Arts ,, Entertainment, Food, Wineries, Wine Tasting Room,,,,,,,,,,,,,,,,,,,
White Vacuum,355 Lincoln Hwy,North Versailles,PA,15137,40.38387078,-79.82253218,4.5,3,1,TRUE,1,,,TRUE,TRUE,,"Appliances, Shopping, Home & Garden",Appliances,, Shopping, Home , Garden,,,,,,,,,,,,,,,,,,,,
Black Forge Coffee,1206 Arlington Ave,Pittsburgh,PA,15210,40.421515,-79.992435,4,50,1,TRUE,1,,free,,,FALSE,"Coffee & Tea, Food",Coffee ,, Tea, Food,,,,,,,,,,,,,,,,,,,,,
Medexpress Urgent Care,12120 State Route 30,Irwin,PA,15642,40.3314614,-79.7430465,3,4,1,TRUE,,,,,,FALSE,"Health & Medical, Doctors",Health ,, Medical, Doctors,,,,,,,,,,,,,,,,,,,,,
Macy's,100 S Hills Village,Pittsburgh,PA,15241,40.34268534,-80.05590188,1.5,5,1,TRUE,3,,,,,,"Shopping, Fashion, Home Decor, Women's Clothing, Furniture Stores, Home & Garden, Mattresses, Men's Clothing, Department Stores",Shopping,, Fashion, Home Decor, Women's Clothing, Furniture Stores, Home , Garden, Mattresses, Men's Clothing, Department Stores,,,,,,,,,,,,,,
Computer Medix,"11110 Center Hwy, Ste 4",Irwin,PA,15642,40.3291093,-79.7273053,5,4,1,TRUE,,,,,,,"Local Services, Shopping, Web Design, Computers, IT Services & Computer Repair, Professional Services",Local Services,, Shopping, Web Design, Computers, IT Services , Computer Repair, Professional Services,,,,,,,,,,,,,,,,,
San Lorenzo Ristorante,4407 Butler St,Pittsburgh,PA,15201,40.471828,-79.95983081,4,21,0,TRUE,3,none,no,,,,"Italian, Restaurants",Italian,, Restaurants,,,,,,,,,,,,,,,,,,,,,,
Eat'n Park,930 Butler St,Etna,PA,15223,40.5120473,-79.9475961,3,14,1,TRUE,2,none,no,,TRUE,,"American (Traditional), Diners, Restaurants, Buffets, Breakfast & Brunch",American (Traditional),, Diners, Restaurants, Buffets, Breakfast , Brunch,,,,,,,,,,,,,,,,,,
Starbucks,Airside Terminal,Pittsburgh,PA,15231,40.49519638,-80.24600803,2.5,24,1,TRUE,1,,free,,,,"Coffee & Tea, Food",Coffee ,, Tea, Food,,,,,,,,,,,,,,,,,,,,,
University of Pittsburgh,3512 5th Ave,Pittsburgh,PA,15213,40.44376382,-79.96268302,4.5,13,1,,,,,,,,"Colleges & Universities, Education",Colleges ,, Universities, Education,,,,,,,,,,,,,,,,,,,,,
Shamrock Inn,917 Western Ave,Pittsburgh,PA,15233,40.4515892,-80.0171568,4,4,0,FALSE,1,full_bar,,,FALSE,,"Bars, Dive Bars, Restaurants, Nightlife",Bars,, Dive Bars, Restaurants, Nightlife,,,,,,,,,,,,,,,,,,,,
Choices,5416 Walnut St,Pittsburgh,PA,15232,40.450632,-79.9348459,3.5,6,1,TRUE,4,,,,,,"Fashion, Shopping, Accessories, Women's Clothing",Fashion,, Shopping, Accessories, Women's Clothing,,,,,,,,,,,,,,,,,,,,
Tepe Chiropractic Center,5739 1/2 Walnut St,Pittsburgh,PA,15232,40.45272058,-79.92911936,5,20,1,TRUE,2,,,,TRUE,TRUE,"Chiropractors, Sports Medicine, Massage, Health & Medical, Doctors, Beauty & Spas, Massage Therapy",Chiropractors,, Sports Medicine, Massage, Health , Medical, Doctors, Beauty , Spas, Massage Therapy,,,,,,,,,,,,,,,
William Penn Jewelers & Engravers,1837 Murray Ave,Pittsburgh,PA,15217,40.4362887,-79.9226996,3,8,1,TRUE,2,,,,,FALSE,"Watches, Engraving, Local Services, Shopping, Jewelry, Jewelry Repair",Watches,, Engraving, Local Services, Shopping, Jewelry, Jewelry Repair,,,,,,,,,,,,,,,,,,
Murray Avenue Locksmith,2004 Murray Ave,Pittsburgh,PA,15217,40.4344887,-79.9229937,4.5,29,1,TRUE,,,,,,FALSE,"Security Systems, Keys & Locksmiths, Home Services, Garage Door Services",Security Systems,, Keys , Locksmiths, Home Services, Garage Door Services,,,,,,,,,,,,,,,,,,,
Framework,5868 Forbes Ave,Pittsburgh,PA,15217,40.4379286,-79.9202857,5,4,0,TRUE,2,,,,,,"Framing, Arts & Crafts, Shopping",Framing,, Arts , Crafts, Shopping,,,,,,,,,,,,,,,,,,,,
Payne Hill Townhomes,511 Payne Hill Rd,Jefferson Hills,PA,15025,40.3007461,-79.9174514,3.5,8,1,TRUE,,,,,,FALSE,"Apartments, Home Services, Real Estate",Apartments,, Home Services, Real Estate,,,,,,,,,,,,,,,,,,,,,
Mattress Firm Settlers Ridge,1340 Settlers Ridge Center Dr,Pittsburgh,PA,15205,40.439857,-80.147063,5,3,0,TRUE,2,,,,TRUE,,"Baby Gear & Furniture, Home & Garden, Fashion, Mattresses, Department Stores, Shopping, Furniture Stores",Baby Gear ,, Furniture, Home , Garden, Fashion, Mattresses, Department Stores, Shopping, Furniture Stores,,,,,,,,,,,,,,,
Pamela's,232 North Ave,Pittsburgh,PA,15209,40.4813695,-79.9741854,4,92,1,FALSE,1,none,no,,,,"Diners, Breakfast & Brunch, Restaurants",Diners,, Breakfast , Brunch, Restaurants,,,,,,,,,,,,,,,,,,,,
Jos. A. Bank,700 Connor Rd,Mt Lebanon,PA,15228,40.354843,-80.048714,2,6,1,TRUE,,,,,,,"Shopping, Fashion, Accessories, Sports Wear, Sporting Goods, Men's Clothing, Formal Wear, Plus Size Fashion",Shopping,, Fashion, Accessories, Sports Wear, Sporting Goods, Men's Clothing, Formal Wear, Plus Size Fashion,,,,,,,,,,,,,,,,
JJ Land Company,5738 Baum Blvd,Pittsburgh,PA,15206,40.4586668,-79.9323835,2.5,15,1,FALSE,,,,,,TRUE,"Apartments, Home Services, Property Management, Real Estate",Apartments,, Home Services, Property Management, Real Estate,,,,,,,,,,,,,,,,,,,,
Skinny Pete's Kitchen,538 California Ave,Pittsburgh,PA,15202,40.501896,-80.069952,4.5,26,0,TRUE,1,,free,,,,"American (Traditional), Diners, Restaurants, Pizza, Sandwiches, American (New)",American (Traditional),, Diners, Restaurants, Pizza, Sandwiches, American (New),,,,,,,,,,,,,,,,,,
Pizza Hut,4001 Main St,Munhall,PA,15120,40.3821848,-79.9046134,1.5,3,1,TRUE,,,,,FALSE,,"Chicken Wings, Pizza, Italian, Restaurants",Chicken Wings,, Pizza, Italian, Restaurants,,,,,,,,,,,,,,,,,,,,
Allegheny County Custom's,650 Rodi Rd,Pittsburgh,PA,15235,40.4476303,-79.8279891,5,3,1,,,,,,,,"Automotive, Body Shops",Automotive,, Body Shops,,,,,,,,,,,,,,,,,,,,,,
Latina Pizza,4426 Kennywood Blvd,West Mifflin,PA,15122,40.389264,-79.8681672,5,12,1,FALSE,1,,no,,,,"Pizza, Restaurants",Pizza,, Restaurants,,,,,,,,,,,,,,,,,,,,,,
Our Place Homemade,105 Middle Ave,Wilmerding,PA,15148,40.3953623,-79.8031129,4.5,3,1,,1,,,,,,"Breakfast & Brunch, Restaurants, Food, Cafes, Bakeries",Breakfast ,, Brunch, Restaurants, Food, Cafes, Bakeries,,,,,,,,,,,,,,,,,,
Pittsburgh's Bridges and Tunnels,,Pittsburgh,PA,15289,40.4443735,-79.9418166,4.5,7,1,,,,,,,,"Public Services & Government, Local Flavor, Landmarks & Historical Buildings",Public Services ,, Government, Local Flavor, Landmarks , Historical Buildings,,,,,,,,,,,,,,,,,,,
B Salon+bar,68 S 12th St,Pittsburgh,PA,15203,40.4284764,-79.9866273,4.5,58,1,TRUE,2,,,,TRUE,FALSE,"Eyebrow Services, Beauty & Spas, Hair Salons, Hair Extensions, Eyelash Service, Men's Hair Salons, Makeup Artists, Blow Dry/Out Services, Hair Stylists, Permanent Makeup",Eyebrow Services,, Beauty , Spas, Hair Salons, Hair Extensions, Eyelash Service, Men's Hair Salons, Makeup Artists, Blow Dry/Out Services, Hair Stylists, Permanent Makeup,,,,,,,,,,,,,
Dudt P J Bakery,1701 Duncan Ave,Allison Park,PA,15101,40.5673828,-79.999307,3,11,0,TRUE,2,,,,,,"Bakeries, Food, Donuts",Bakeries,, Food, Donuts,,,,,,,,,,,,,,,,,,,,,
